service_id,name,domain,category,integration_type,is_new,endpoint_url,endpoint_method,pay_to,amount,currency,network,networks_csv
exa-ai,Exa,exa.ai,Search,1P,False,https://api.exa.ai/contents,POST,,0.001,USDC,Base,Base
exa-ai,Exa,exa.ai,Search,1P,False,https://api.exa.ai/search,POST,,0.007,USDC,Base,Base
docs-anthropic-com,Claude,docs.anthropic.com,Inference,3P,False,https://api.venice.ai/api/v1/chat/completions,POST,,0.001,USDC,Base,"Base,Solana"
docs-anthropic-com,Claude,docs.anthropic.com,Inference,3P,False,https://api.venice.ai/api/v1/responses,POST,,0.001,USDC,Base,"Base,Solana"
docs-anthropic-com,Claude,docs.anthropic.com,Inference,3P,False,https://llm.bankr.bot/v1/models,GET,,,USDC,Base,"Base,Solana"
docs-anthropic-com,Claude,docs.anthropic.com,Inference,3P,False,https://llm.bankr.bot/v1/messages,POST,,,USDC,Base,"Base,Solana"
docs-anthropic-com,Claude,docs.anthropic.com,Inference,3P,False,https://blockrun.ai/v1/models,GET,,,USDC,Base,"Base,Solana"
docs-anthropic-com,Claude,docs.anthropic.com,Inference,3P,False,https://blockrun.ai/v1/chat/completions,POST,,,USDC,Base,"Base,Solana"
tripadvisor-content-api-readme-io,Tripadvisor,tripadvisor-content-api.readme.io,Data,3P,False,https://tripadvisor.x402.paysponge.com/api/v1/location/:locationId/details,GET,,0.01,USDC,Base,Base
tripadvisor-content-api-readme-io,Tripadvisor,tripadvisor-content-api.readme.io,Data,3P,False,https://tripadvisor.x402.paysponge.com/api/v1/location/:locationId/photos,GET,,0.01,USDC,Base,Base
tripadvisor-content-api-readme-io,Tripadvisor,tripadvisor-content-api.readme.io,Data,3P,False,https://tripadvisor.x402.paysponge.com/api/v1/location/:locationId/reviews,GET,,0.01,USDC,Base,Base
tripadvisor-content-api-readme-io,Tripadvisor,tripadvisor-content-api.readme.io,Data,3P,False,https://tripadvisor.x402.paysponge.com/api/v1/location/nearby_search,GET,,0.01,USDC,Base,Base
