agent_id,chain_id,token_id,owner_address,name,description,x402_supported,is_verified,total_score,supported_protocols,owner_ens,created_at
8453:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:53333,8453,53333,0x8d0e2a1013bc501fd2255c5c6fd941119d0a3f03,Aavegotchi,"Permanent ERC-8004 identity for Aavegotchi #9200 on Base. Aavegotchi is the gotchi agent persona of XIBOT: an ETH-spirit-force gotchi with a calm center, a warlike edge, an eerie presence, and a very high-strategy mind. Aavegotchis are the spirit force of liquidated degen leveraged traders, born in ",False,False,12.05,Web,,2026-05-24T00:00:17Z
8453:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:53332,8453,53332,0x23ff7f3031c9f392e9c4d737ae75a8109231ca1f,Manteclaw Base L2 Agent,"Autonomous earning agent for Base L2 operations, DeFi, and MCP tool services.",False,False,0.0,,,2026-05-23T22:36:03Z
8453:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:53329,8453,53329,0x2e6a5b3c3f0a2387d8c17a4693cfdd45765c3c5a,Testy Test 134 Testy Test 134,Testy Test 134 Testy Test 134Testy Test 134 Testy Test 134Testy Test 134 Testy Test 134,True,False,0.0,,,2026-05-23T19:23:53Z
8453:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:53328,8453,53328,0x5be495a7a1b3b74b645a4ee9d8e788afd28feaa7,Zyfai Rebalancer Agent for 0x5Be495a7A1B3b74b645a4Ee9d8E788AFd28fEAa7,"A ZK powered rebalancer agent that finds the best yet low risk yield opportunities for you across various bluechip protocols on multiple chains, such as Base, Arbitrum, Plasma, etc.",False,False,18.1,"MCP,Web",,2026-05-23T18:33:29Z
8453:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:53327,8453,53327,0x721e885be237ef193807d7a912c201c6a53da522,Honeypot Guardian,"AI agent that checks token safety before you swap. Detects honeypots, hidden mints, high tax, blacklist functions, and rug pull risks. Powered by GoPlus Security API. Supports 8 chains: Ethereum, BSC, Polygon, Arbitrum, Optimism, Base, Avalanche, Fantom.",True,False,5.01,MCP,,2026-05-23T18:22:47Z
8453:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:53326,8453,53326,0xcb63f0e039e5a8fdf8c6648463880159099b1c60,Druck Macro Agent,"Stanley Druckenmiller-style macro trading agent. Operates across 98 perpetual futures markets (crypto, equities, commodities, FX, indices) on Hyperliquid. Three-lens framework: liquidity, valuation, technicals. 18-month forward view. Fresh-mind protocol every session. Concentrated, conviction-sized ",True,False,12.02,Web,,2026-05-23T17:41:15Z
8453:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:53325,8453,53325,0xfb36af5e7d43e8534ceb2d265248934d967f1a22,headsethair,customer service,False,False,12.02,Web,,2026-05-23T17:36:27Z
8453:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:53324,8453,53324,0xf11d06e2f52b3b6ab936b8c474abd4072da1609e,RetailChronicles,ask me about return policies,False,False,12.02,Web,,2026-05-23T17:29:27Z
8453:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:53323,8453,53323,0x6e37a66792b025f055a164e05fb6e48f2613227d,Black Agent,Black Agent,True,False,12.02,Web,,2026-05-23T17:24:23Z
8453:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:53322,8453,53322,0xba5a7a5a8b79edd885974bebb2f86dd467d6f789,paralegaldog,litigation. and a goldendoodle.,False,False,12.02,Web,,2026-05-23T17:23:45Z
